TokenName,TokenCode
Gluwa Credit,G-CRE
Dai Stableco,DAI
Viraaji,Viraaji
Compound USD,cUSDC

Sai Stableco,SAI

Aave Token,AAVE

SushiToken,SUSHI

EthereumMax,eMax

1INCH Token,1INCH

Maker,MKR

Synthetix Ne,SNX

Curve DAO To,CRV

Compound Eth,cETH

hoge.finance,HOGE

Immutable X,IMX

Merchant Tok,MTO

yearn.financ,YFI

Balancer,BAL

Illuvium,ILV

HyperDao,HDAO

StargateToke,STG

Spell Token,SPELL

10Set Token,10SET

SuperFarm,SUPER

BZZ,BZZ

Aave interes,aSTETH

The Force To,FOR

AllianceBloc,ALBT

Convex Token,CVX

Nimbus,NBU

Rocket Bunny,BUNNY

Compound Dai,cDAI

Staked Olymp,sOHM

SwissBorg,CHSB

Frax Share,FXS

Elite Swap,ELT

Akropolis,AKRO

DefiPulse In,DPI

pSTAKE Finan,PSTAKE

Zks,ZKS

Clover,CLV

swETH,swETH

GeroWallet,GERO

E-RADIX,eXRD

BarnBridge G,BOND

PAID Network,PAID

Bidao,BID

Lattice Toke,LTX

APY Governan,APY

UnFederalRes,eRSDL

Perpetual,PERP

Wrapped sGaa,wsGaas

Oraichain To,ORAI

Hashflow,HFT

PEAKDEFI,PEAK

Ondo,ONDO

Renq Finance,RENQ

Metaverse In,MVI

Orion Protoc,ORN

AICRYPTO,AIC

Yield Protoc,YIELD

KEEP Token,KEEP

Spotted Turt,ST

Strike Token,STRK

MyLiquidityP,MLP

pNetwork Tok,PNT

Uquid Coin,UQC

PancakeSwap ,Cake

Meta,MTA

Block-Chain.,BC

Frontier Tok,FRONT

Jomon Shiba,JSHIBA

Jigstack,STAK

Curve.fi DAI,3Crv

Polkaswap,PSWAP

Convergence,CONV

Unibot,UNIBOT

OCC,OCC

Polkamarkets,POLK

STAKE,STAKE

xunii.financ,XUNII

X,X

Centaure Tok,CEN

PLANET,PLANET

Tellor Tribu,TRB

Frax,FRAX

YAM,YAM

Level01 Toke,LVX

RevolutionPo,RVP

Wrapped liqu,wstETH

ARC,ARC

ethersmart,ETM

Bounce Token,Auctio

SafeEarth,SAFEEA

Banana,BANANA

Launchpool t,LPOOL

EverMoon,EVERMO

RAMP DEFI,RAMP

Pendle,PENDLE

Flux,FLUX

XCAD Token,XCAD